Sl_Number,Country,Agriculture,Technology,Fuel,Total
117,Lithuania,40419,540819,4701678,5282916
118,Luxembourg,54918,2350931,12493063,14898912
119,Macau,54572,2327341,8530359,10912272
120,Madagascar,45749,3976573,14818086,18840408
121,Malawi,34826,1728933,12045751,13809510
122,Malaysia,53422,1683024,14242255,15978701
123,Maldives,22366,7051410,2293544,9367320
124,Mali,69608,4779288,8558075,13406971
125,Malta,60504,2978645,5412080,8451229
126,Marshall Islands,76116,5485017,3264968,8826101
127,Martinique,89673,7292678,3999131,11381482
128,Mauritania,94065,2498448,10070296,12662809
129,Mauritius,12462,4680356,11341312,16034130
130,Mayotte,50830,7716846,14387881,22155557
131,Mexico,57412,1885042,8519057,10461511
132,Micronesia,31465,2506224,12436739,14974428
133,Moldova,83926,176411,6749413,7009750
134,Monaco,91367,2045782,10333516,12470665
135,Mongolia,61161,661101,7319554,8041816
136,Montenegro,56111,903391,8203210,9162712
137,Montserrat,58784,2631125,8656436,11346345
138,Morocco,99190,363437,5607926,6070553
139,Mozambique,13552,6406653,4467447,10887652
140,Myanmar,76415,5707870,12482370,18266655
141,Namibia,90456,345542,8351117,8787115
142,Nauru,19820,3705508,12627955,16353283
143,Nepal,85090,836303,4809497,5730890
144,Netherlands,45225,814244,14352183,15211652
145,New Caledonia,63448,4977334,12984845,18025627
146,New Zealand,56049,3179467,9767666,13003182
147,Nicaragua,31751,1696530,4146107,5874388
148,Niger,83081,7480704,13444168,21007953
149,Nigeria,21480,3717748,11571700,15310928
150,Niue,46511,5157152,3547922,8751585
151,North Korea,44084,2197792,12335904,14577780
152,North Macedonia,58132,5642609,7516002,13216743
153,Northern Mariana Islands,84733,3163075,5279361,8527169
154,Norway,53504,2681287,13922704,16657495
155,Oman,93669,1451067,5172579,6717315
156,Pakistan,23072,1100842,13889750,15013664
157,Palau,44092,2933741,2971655,5949488
158,Palestine,32649,1710376,2974054,4717079
159,Panama,84263,4194695,14056755,18335713
160,Papua New Guinea,57178,3787863,10435933,14280974
161,Paraguay,10991,3341581,7777925,11130497
162,Peru,29629,7965685,12527765,20523079
163,Philippines,83350,5001544,6780354,11865248
164,Poland,38823,2856319,8978569,11873711
165,Portugal,42058,4363467,9915597,14321122
166,Puerto Rico,34957,282532,3467761,3785250
167,Qatar,28995,941217,6259927,7230139
168,Republic of the Congo,84102,1070835,5270809,6425746
169,Reunion,37314,1094170,12438853,13570337
170,Romania,43817,1645009,14206136,15894962
171,Russia,53946,3482039,12699059,16235044
172,Rwanda,12648,231001,8974663,9218312
173,Saint Barthelemy,14539,3377000,8337717,11729256
174,Saint Kitts and Nevis,66953,4757078,9507109,14331140
175,Saint Lucia,64122,4101227,6842993,11008342
176,Saint Martin,35639,4280245,13866324,18182208
177,Saint Pierre and Miquelon,84745,3204989,5429372,8719106
178,Saint Vincent and the Grenadines,10916,6328352,6162032,12501300
179,Samoa,42600,7130582,12185049,19358231
180,San Marino,67412,2219334,2881626,5168372
181,Sao Tome and Principe,35422,2729629,4692473,7457524
182,Saudi Arabia,35732,757473,3528705,4321910
183,Senegal,72922,3705459,12644566,16422947
184,Serbia,92978,5357407,7150268,12600653
185,Seychelles,27750,4739825,3678971,8446546
186,Sierra Leone,60537,6417837,6762639,13241013
187,Singapore,84275,4118913,4121009,8324197
188,Sint Maarten,51102,597530,14689435,15338067
189,Slovakia,88404,4641014,7431108,12160526
190,Slovenia,53456,755278,4065629,4874363
191,Solomon Islands,92396,3911069,7859041,11862506
192,Somalia,62506,2899278,5474907,8436691
193,South Africa,37955,4529702,13020831,17588488
194,South Korea,31253,2695327,3188222,5914802
195,South Sudan,96782,2345794,12838536,15281112
196,Spain,52081,886962,8108175,9047218
197,Sri Lanka,53615,7977976,11113996,19145587
198,Sudan,36658,7219079,4095572,11351309
199,Suriname,17644,2143558,3210390,5371592
200,Sweden,60793,4224038,4279265,8564096
201,Switzerland,64309,3111854,11823272,14999435
202,Syria,25914,897174,2497249,3420337
203,Taiwan,87169,1886580,9550050,11523799
204,Tajikistan,54507,7026133,6813968,13894608
205,Tanzania,25410,1310913,9096060,10432383
206,Thailand,66331,753010,8896974,9716315
207,Timor-Leste,72004,4800645,8680675,13553324
208,Togo,30484,6219770,13255868,19506122
209,Tokelau,96399,2069000,13997137,16162536
210,Tonga,89403,7309744,9435089,16834236
211,Trinidad and Tobago,28383,460670,3696457,4185510
212,Tunisia,73558,4936340,3874879,8884777
213,Turkey,32464,4347259,8300064,12679787
214,Turkmenistan,10977,7832261,11114248,18957486
215,Turks and Caicos Islands,42580,3714806,6233601,9990987
216,Tuvalu,80455,1373759,2055299,3509513
217,Uganda,58622,3011301,14496782,17566705
218,Ukraine,47720,4693860,2598463,7340043
219,United Arab Emirates,99530,5631232,3722269,9453031
220,United Kingdom,41146,2017565,11671501,13730212
221,United States,92972,7901685,10096710,18091367
222,United States Virgin Islands,87443,6621921,8067816,14777180
223,Uruguay,83913,7987382,10902153,18973448
224,Uzbekistan,19745,2421469,4471424,6912638
225,Vanuatu,44307,2697093,2131782,4873182
226,Vatican City,56457,4859793,9330732,14246982
227,Venezuela,79588,5004349,14186110,19270047
228,Vietnam,61330,4722953,6615678,11399961
229,Wallis and Futuna,51633,5136857,9941473,15129963
230,Western Sahara,17752,5540564,12557019,18115335
231,Yemen,27593,3702117,11523664,15253374
232,Zambia,34733,6589649,14601915,21226297
233,Zimbabwe,54826,5138970,7475386,12669182
